model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_leaf
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,1
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,2
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,3
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,4
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,5
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,7
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,10
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,15
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,20
Random Forest,0.9412087912087912,0.9384615384615385,0.8617647058823529,0.8529411764705882,1,30
Random Forest,0.9395604395604396,0.9362637362637363,0.8573529411764707,0.8470588235294118,1,40
Random Forest,0.9373626373626374,0.9340659340659341,0.8514705882352942,0.8411764705882353,1,50
Random Forest,0.9373626373626374,0.9340659340659341,0.8558823529411764,0.8352941176470589,1,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,1,100
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,1
Random Forest,0.9615384615384615,0.9494505494505496,0.9191176470588236,0.9058823529411765,2,2
Random Forest,0.9626373626373625,0.9472527472527474,0.9191176470588236,0.9058823529411765,2,3
Random Forest,0.962087912087912,0.945054945054945,0.9191176470588236,0.9,2,4
Random Forest,0.9631868131868131,0.9472527472527472,0.9235294117647058,0.9,2,5
Random Forest,0.9626373626373625,0.945054945054945,0.9220588235294118,0.9,2,7
Random Forest,0.9587912087912087,0.9472527472527472,0.9205882352941176,0.9,2,10
Random Forest,0.9554945054945054,0.945054945054945,0.9102941176470589,0.8941176470588236,2,15
Random Forest,0.9532967032967032,0.945054945054945,0.9088235294117647,0.8941176470588236,2,20
Random Forest,0.9516483516483516,0.9516483516483518,0.9044117647058822,0.9,2,30
Random Forest,0.9505494505494505,0.9472527472527472,0.901470588235294,0.8882352941176471,2,40
Random Forest,0.9483516483516483,0.9428571428571428,0.9,0.8882352941176471,2,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,2,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,2,100
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,1
Random Forest,0.9807692307692306,0.953846153846154,0.9558823529411764,0.9235294117647059,3,2
Random Forest,0.9796703296703295,0.953846153846154,0.9544117647058824,0.9235294117647059,3,3
Random Forest,0.9780219780219779,0.9516483516483518,0.9529411764705882,0.9235294117647059,3,4
Random Forest,0.9769230769230768,0.9516483516483518,0.95,0.9235294117647059,3,5
Random Forest,0.9763736263736262,0.9516483516483518,0.9514705882352942,0.9235294117647059,3,7
Random Forest,0.9664835164835164,0.953846153846154,0.9470588235294117,0.9235294117647059,3,10
Random Forest,0.9659340659340658,0.9582417582417584,0.9426470588235294,0.9235294117647059,3,15
Random Forest,0.9604395604395604,0.9560439560439562,0.9294117647058823,0.9176470588235295,3,20
Random Forest,0.9593406593406593,0.9516483516483518,0.9176470588235294,0.9058823529411765,3,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,3,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,3,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,3,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,3,100
Random Forest,0.9901098901098901,0.9494505494505496,0.9779411764705882,0.9176470588235295,4,1
Random Forest,0.987912087912088,0.953846153846154,0.9720588235294118,0.9235294117647059,4,2
Random Forest,0.9868131868131869,0.953846153846154,0.9705882352941178,0.9235294117647059,4,3
Random Forest,0.9846153846153847,0.9516483516483518,0.9676470588235293,0.9176470588235295,4,4
Random Forest,0.9807692307692306,0.9494505494505496,0.9617647058823529,0.9235294117647059,4,5
Random Forest,0.9752747252747251,0.953846153846154,0.9558823529411764,0.9235294117647059,4,7
Random Forest,0.9703296703296702,0.953846153846154,0.9529411764705882,0.9235294117647059,4,10
Random Forest,0.9659340659340658,0.953846153846154,0.9441176470588235,0.9176470588235295,4,15
Random Forest,0.9609890109890109,0.9516483516483516,0.9338235294117647,0.9117647058823529,4,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,4,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,4,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,4,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,4,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,4,100
Random Forest,0.9923076923076923,0.9582417582417584,0.9808823529411764,0.9294117647058824,5,1
Random Forest,0.9917582417582418,0.9582417582417584,0.9808823529411764,0.9352941176470588,5,2
Random Forest,0.9884615384615385,0.9560439560439562,0.975,0.9294117647058824,5,3
Random Forest,0.9862637362637363,0.9560439560439562,0.9735294117647058,0.9352941176470588,5,4
Random Forest,0.9835164835164836,0.953846153846154,0.972058823529412,0.9235294117647059,5,5
Random Forest,0.9763736263736262,0.9516483516483518,0.9602941176470589,0.9235294117647059,5,7
Random Forest,0.9714285714285713,0.9494505494505496,0.9558823529411764,0.9176470588235295,5,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,5,15
Random Forest,0.9609890109890109,0.9516483516483516,0.9338235294117647,0.9117647058823529,5,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,5,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,5,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,5,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,5,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,5,100
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9352941176470588,6,1
Random Forest,0.9923076923076923,0.9626373626373628,0.9808823529411764,0.9411764705882353,6,2
Random Forest,0.9901098901098901,0.9582417582417584,0.9779411764705882,0.9352941176470588,6,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,6,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,6,5
Random Forest,0.979120879120879,0.9516483516483518,0.9632352941176471,0.9235294117647059,6,7
Random Forest,0.9714285714285713,0.9494505494505496,0.9558823529411764,0.9176470588235295,6,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,6,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,6,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,6,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,6,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,6,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,6,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,6,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7,1
Random Forest,0.9928571428571429,0.9626373626373628,0.9823529411764707,0.9470588235294117,7,2
Random Forest,0.9901098901098901,0.9582417582417584,0.9779411764705882,0.9352941176470588,7,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,7,4
Random Forest,0.9835164835164836,0.9582417582417584,0.972058823529412,0.9352941176470588,7,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,7,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,7,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,7,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,7,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,7,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,7,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,7,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,7,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,7,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,8,1
Random Forest,0.9923076923076923,0.9604395604395606,0.9823529411764707,0.9470588235294117,8,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,8,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,8,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,8,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,8,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,8,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,8,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,8,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,8,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,8,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,8,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,8,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,8,100
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,9,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,9,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,9,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,9,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,9,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,9,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,9,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,9,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,9,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,9,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,9,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,9,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,9,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,9,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,10,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,10,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,10,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,10,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,10,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,10,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,10,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,10,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,10,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,10,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,10,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,10,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,10,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,10,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,11,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,11,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,11,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,11,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,11,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,11,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,11,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,11,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,11,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,11,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,11,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,11,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,11,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,11,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,12,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,12,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,12,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,12,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,12,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,12,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,12,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,12,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,12,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,12,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,12,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,12,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,12,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,12,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,13,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,13,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,13,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,13,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,13,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,13,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,13,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,13,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,13,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,13,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,13,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,13,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,13,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,13,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,14,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,14,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,14,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,14,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,14,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,14,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,14,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,14,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,14,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,14,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,14,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,14,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,14,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,14,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,15,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,15,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,15,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,15,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,15,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,15,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,15,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,15,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,15,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,15,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,15,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,15,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,15,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,15,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,,100
